aggregation_weighting,amounts_per_partner,dataset_name,epoch_count,final_relative_nb_samples,gradient_updates_per_pass_count,is_early_stopping,learning_computation_time_sec,minibatch_count,mpl_nb_epochs_done,mpl_test_score,multi_partner_learning_approach,nb_samples_used,partners_count,samples_split_option,scenario_name,short_scenario_name,single_partner_test_mode,test_data_samples_count,train_data_samples_count,random_state,scenario_id
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,567.9621955696493,10.0,12.0,0.9887999892234802,fedavg,48000.0,3.0,random,scenario_1_repeat_1_2020-06-15_11h09_c8f,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,0,0
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,138.28278573416173,10.0,7.0,0.9883000254631042,seq-pure,48000.0,3.0,random,scenario_2_repeat_1_2020-06-15_11h19_6ef,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,0,1
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,142.94229555502534,10.0,7.0,0.9882000088691711,seq-with-final-agg,48000.0,3.0,random,scenario_3_repeat_1_2020-06-15_11h21_ec4,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,0,2
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,192.4293075092137,10.0,7.0,0.9886999726295471,seqavg,48000.0,3.0,random,scenario_4_repeat_1_2020-06-15_11h23_02e,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,0,3
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,516.2507219817489,10.0,11.0,0.9526000022888184,fedavg,48000.0,3.0,stratified,scenario_5_repeat_1_2020-06-15_11h27_aee,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,0,4
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,196.2958021517843,10.0,10.0,0.9879000186920166,seq-pure,48000.0,3.0,stratified,scenario_6_repeat_1_2020-06-15_11h35_18d,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,0,5
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,248.41553821787238,10.0,12.0,0.9879999756813049,seq-with-final-agg,48000.0,3.0,stratified,scenario_7_repeat_1_2020-06-15_11h38_da7,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,0,6
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,323.1494603101164,10.0,11.0,0.9818000197410583,seqavg,48000.0,3.0,stratified,scenario_8_repeat_1_2020-06-15_11h43_574,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,0,7
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,3211.4330110494047,10.0,30.0,0.7311000227928162,fedavg,40000.0,3.0,random,scenario_9_repeat_1_2020-06-15_11h48_47c,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,0,8
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,612.2619229331613,10.0,22.0,0.6215999722480774,seq-pure,40000.0,3.0,random,scenario_10_repeat_1_2020-06-15_12h42_00e,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,0,9
