amount_per_partner,amounts_per_partner,computation_time,contributivity_method,contributivity_score,contributivity_scores,contributivity_std,contributivity_stds,dataset_name,epoch_count,federated_test_score,is_early_stopping,partner_id,partners_count,samples_split_option,scenario_name,test_data_samples_count,single_partner_test_mode,train_data_samples_count,random_state,scenario_id
0.4,"[0.4, 0.3, 0.3]",320.0,Shapley values,0.38733335336049396,[0.38733335 0.29748334 0.29558333],0.0,[0. 0. 0.],MNIST,40.0,0.7846999764442444,1.0,0.0,3.0,Random,"Random 3 [0.4, 0.3, 0.3]",10000.0,global,48000.0,0,0
0.3,"[0.4, 0.3, 0.3]",320.0,Shapley values,0.29748334487279254,[0.38733335 0.29748334 0.29558333],0.0,[0. 0. 0.],MNIST,40.0,0.7846999764442444,1.0,1.0,3.0,Random,"Random 3 [0.4, 0.3, 0.3]",10000.0,global,48000.0,0,0
0.3,"[0.4, 0.3, 0.3]",320.0,Shapley values,0.2955833276112874,[0.38733335 0.29748334 0.29558333],0.0,[0. 0. 0.],MNIST,40.0,0.7846999764442444,1.0,2.0,3.0,Random,"Random 3 [0.4, 0.3, 0.3]",10000.0,global,48000.0,0,0
0.4,"[0.4, 0.3, 0.3]",30.0,Independant scores raw,0.9821000099182129,[0.98210001 0.9799     0.97750002],0.0,[0. 0. 0.],MNIST,40.0,0.7846999764442444,1.0,0.0,3.0,Random,"Random 3 [0.4, 0.3, 0.3]",10000.0,global,48000.0,0,0
0.3,"[0.4, 0.3, 0.3]",30.0,Independant scores raw,0.9799000024795532,[0.98210001 0.9799     0.97750002],0.0,[0. 0. 0.],MNIST,40.0,0.7846999764442444,1.0,1.0,3.0,Random,"Random 3 [0.4, 0.3, 0.3]",10000.0,global,48000.0,0,0
0.3,"[0.4, 0.3, 0.3]",30.0,Independant scores raw,0.9775000214576721,[0.98210001 0.9799     0.97750002],0.0,[0. 0. 0.],MNIST,40.0,0.7846999764442444,1.0,2.0,3.0,Random,"Random 3 [0.4, 0.3, 0.3]",10000.0,global,48000.0,0,0
0.4,"[0.4, 0.3, 0.3]",30.0,Independant scores additive,0.2621597527779722,[0.26215975 0.26158363 0.26095659],0.0,[0. 0. 0.],MNIST,40.0,0.7846999764442444,1.0,0.0,3.0,Random,"Random 3 [0.4, 0.3, 0.3]",10000.0,global,48000.0,0,0
0.3,"[0.4, 0.3, 0.3]",30.0,Independant scores additive,0.26158363333764034,[0.26215975 0.26158363 0.26095659],0.0,[0. 0. 0.],MNIST,40.0,0.7846999764442444,1.0,1.0,3.0,Random,"Random 3 [0.4, 0.3, 0.3]",10000.0,global,48000.0,0,0
0.3,"[0.4, 0.3, 0.3]",30.0,Independant scores additive,0.26095659032863194,[0.26215975 0.26158363 0.26095659],0.0,[0. 0. 0.],MNIST,40.0,0.7846999764442444,1.0,2.0,3.0,Random,"Random 3 [0.4, 0.3, 0.3]",10000.0,global,48000.0,0,0
0.9,"[0.9, 0.05, 0.05]",331.0,Shapley values,0.3372500042120616,[0.33725    0.22715    0.22420002],0.0,[0. 0. 0.],MNIST,40.0,0.979200005531311,1.0,0.0,3.0,Random,"Random 3 [0.9, 0.05, 0.05]",10000.0,global,48000.0,0,1
0.05,"[0.9, 0.05, 0.05]",331.0,Shapley values,0.22715000311533606,[0.33725    0.22715    0.22420002],0.0,[0. 0. 0.],MNIST,40.0,0.979200005531311,1.0,1.0,3.0,Random,"Random 3 [0.9, 0.05, 0.05]",10000.0,global,48000.0,0,1
0.05,"[0.9, 0.05, 0.05]",331.0,Shapley values,0.2242000202337901,[0.33725    0.22715    0.22420002],0.0,[0. 0. 0.],MNIST,40.0,0.979200005531311,1.0,2.0,3.0,Random,"Random 3 [0.9, 0.05, 0.05]",10000.0,global,48000.0,0,1
0.9,"[0.9, 0.05, 0.05]",30.0,Independant scores raw,0.986299991607666,[0.98629999 0.94069999 0.93150002],0.0,[0. 0. 0.],MNIST,40.0,0.979200005531311,1.0,0.0,3.0,Random,"Random 3 [0.9, 0.05, 0.05]",10000.0,global,48000.0,0,1
0.05,"[0.9, 0.05, 0.05]",30.0,Independant scores raw,0.9406999945640564,[0.98629999 0.94069999 0.93150002],0.0,[0. 0. 0.],MNIST,40.0,0.979200005531311,1.0,1.0,3.0,Random,"Random 3 [0.9, 0.05, 0.05]",10000.0,global,48000.0,0,1
0.05,"[0.9, 0.05, 0.05]",30.0,Independant scores raw,0.9315000176429749,[0.98629999 0.94069999 0.93150002],0.0,[0. 0. 0.],MNIST,40.0,0.979200005531311,1.0,2.0,3.0,Random,"Random 3 [0.9, 0.05, 0.05]",10000.0,global,48000.0,0,1
0.9,"[0.9, 0.05, 0.05]",30.0,Independant scores additive,0.33741101129027756,[0.33741101 0.3223706  0.3194184 ],0.0,[0. 0. 0.],MNIST,40.0,0.979200005531311,1.0,0.0,3.0,Random,"Random 3 [0.9, 0.05, 0.05]",10000.0,global,48000.0,0,1
0.05,"[0.9, 0.05, 0.05]",30.0,Independant scores additive,0.3223705976929599,[0.33741101 0.3223706  0.3194184 ],0.0,[0. 0. 0.],MNIST,40.0,0.979200005531311,1.0,1.0,3.0,Random,"Random 3 [0.9, 0.05, 0.05]",10000.0,global,48000.0,0,1
0.05,"[0.9, 0.05, 0.05]",30.0,Independant scores additive,0.31941839654807397,[0.33741101 0.3223706  0.3194184 ],0.0,[0. 0. 0.],MNIST,40.0,0.979200005531311,1.0,2.0,3.0,Random,"Random 3 [0.9, 0.05, 0.05]",10000.0,global,48000.0,0,1
0.9,"[0.9, 0.1]",109.0,Shapley values,0.5056000053882599,[0.50560001 0.47760001],0.0,[0. 0.],MNIST,40.0,0.9857000112533569,1.0,0.0,2.0,Random,"Random 2 [0.9, 0.1]",10000.0,global,48000.0,0,2
0.1,"[0.9, 0.1]",109.0,Shapley values,0.47760000824928284,[0.50560001 0.47760001],0.0,[0. 0.],MNIST,40.0,0.9857000112533569,1.0,1.0,2.0,Random,"Random 2 [0.9, 0.1]",10000.0,global,48000.0,0,2
0.9,"[0.9, 0.1]",29.0,Independant scores raw,0.9861999750137329,[0.98619998 0.96020001],0.0,[0. 0.],MNIST,40.0,0.9857000112533569,1.0,0.0,2.0,Random,"Random 2 [0.9, 0.1]",10000.0,global,48000.0,0,2
0.1,"[0.9, 0.1]",29.0,Independant scores raw,0.9602000117301941,[0.98619998 0.96020001],0.0,[0. 0.],MNIST,40.0,0.9857000112533569,1.0,1.0,2.0,Random,"Random 2 [0.9, 0.1]",10000.0,global,48000.0,0,2
0.9,"[0.9, 0.1]",29.0,Independant scores additive,0.49925668574740983,[0.49925669 0.48644333],0.0,[0. 0.],MNIST,40.0,0.9857000112533569,1.0,0.0,2.0,Random,"Random 2 [0.9, 0.1]",10000.0,global,48000.0,0,2
0.1,"[0.9, 0.1]",29.0,Independant scores additive,0.486443325505947,[0.49925669 0.48644333],0.0,[0. 0.],MNIST,40.0,0.9857000112533569,1.0,1.0,2.0,Random,"Random 2 [0.9, 0.1]",10000.0,global,48000.0,0,2
0.4,"[0.4, 0.3, 0.3]",159.0,Shapley values,0.2984166542689005,[0.29841665 0.22016666 0.28991667],0.0,[0. 0. 0.],MNIST,40.0,0.8094000220298767,1.0,0.0,3.0,Random,"Random 3 [0.4, 0.3, 0.3]",10000.0,global,48000.0,1,0
0.3,"[0.4, 0.3, 0.3]",159.0,Shapley values,0.22016666332880658,[0.29841665 0.22016666 0.28991667],0.0,[0. 0. 0.],MNIST,40.0,0.8094000220298767,1.0,1.0,3.0,Random,"Random 3 [0.4, 0.3, 0.3]",10000.0,global,48000.0,1,0
0.3,"[0.4, 0.3, 0.3]",159.0,Shapley values,0.2899166742960612,[0.29841665 0.22016666 0.28991667],0.0,[0. 0. 0.],MNIST,40.0,0.8094000220298767,1.0,2.0,3.0,Random,"Random 3 [0.4, 0.3, 0.3]",10000.0,global,48000.0,1,0
0.4,"[0.4, 0.3, 0.3]",30.0,Independant scores raw,0.9797000288963318,[0.97970003 0.98110002 0.98070002],0.0,[0. 0. 0.],MNIST,40.0,0.8094000220298767,1.0,0.0,3.0,Random,"Random 3 [0.4, 0.3, 0.3]",10000.0,global,48000.0,1,0
